0;FaserF;9C3133A6AA5B000B62D9D15F;76561201343888417;188.194.179.133;100;3;4085;;1499710779;1499712506;0;0
1;Blue_Skywolf;0906B1FD499A5F2441E16701;76561199573854520;217.84.49.24;60;6;2835;;1498503339;1498508382;0;1
2;Tankschrotter;E92563EABB5278021CEE6DD7;76561201366997669;212.202.162.143;0;1;2062;;1498503478;1498503478;0;0
3;BilaLui;415EFB3E7AB11ED6D2F789B4;76561200707965681;87.160.56.11;100;4;1210216;;1498503481;1499712516;0;0
4;Kai;9E7458F33C4C099257D07F29;76561199872425869;178.26.131.191;100;2;1172;;1498503613;1498507443;0;0
5;ciRcuS|Krizzel;D5069DAEE79AA16E6408FD6E;76561202254416625;79.238.179.96;0;1;1226;;1498503632;1498503632;0;0
6;astertz;B6A91D0D89C8A5031ECCAE0B;76561198728679563;188.193.108.253;0;1;1209;;1498504170;1498504170;0;0
7;gestalt;F3291CB611BDECAACAF3A0F6;76561201980397074;181.118.120.55;0;1;45;;1498504195;1498504195;0;0
8;Jezeba;BFB7ED15FAA58E7A7EC3FE21;76561198385157026;85.76.145.215;0;1;1027;;1498504226;1498504226;0;0
9;LithuanianSmile;F203CF2AEEEB9E5F898DF3D6;76561200478001259;5.20.120.4;0;1;0;;1498507207;1498507207;;1
10;RANLTU;B64545C028BA022519E34206;76561200550945932;78.58.161.100;0;1;0;;1498507229;1498507229;;1
11;Soap;BFD9147298EF1CDDEDD1734A;76561199213542250;178.95.199.78;0;1;0;;1499716314;1499716314;;1
12;KaltBier;EE029EB9FFC469C0FE8FC700;76561201053129478;78.43.43.70;0;2;132;;1499712772;1499713595;0;0
13;H4zzl3;0B1787B919A878AF67E6D9F5;76561199641085033;89.15.139.72;0;2;1061;;1499713448;1499714678;0;1
14;BechirXF15;BEC83BF3C09AB26317DEB24A;76561200657193253;41.227.117.251;0;1;181;;1499714184;1499714184;0;0
15;ASALCOART;E8381502B84E463A1105290A;76561201888055540;189.198.183.34;0;1;0;;1499714194;1499714194;;1
16;Devil;4CFDDCAAA99D755907DE2571;76561200967599634;87.0.86.28;0;1;106;;1499714857;1499714857;0;0
17;POMAH;B9D99CF84A75043590C464FC;76561200724714358;176.65.112.163;0;1;94;;1499715564;1499715564;0;0
18;Besii;7AE2EBBE2EA93EE5E045A72C;76561200533876255;79.106.209.182;0;1;180;;1499715601;1499715601;0;0
19;Lerion24;EFE604757BD0DE2DFD3FD302;76561198247134798;91.155.25.235;0;1;22;;1499715978;1499715978;0;0
